start	end	text
0	9000	Okay, so thank you for doing for today's interview. Can you tell me a little bit about yourself?
9000	12000	18 years old, thank you.
12000	18000	These are 18 years. Okay. And please, your occupation, what do you do?
18000	21000	I'm 18 years old, I'm not working.
21000	25000	Okay, but what did you used to do before?
25000	27000	I was a nurse.
27000	34000	Okay, please, what are some of your responsibilities now that you are home? What do you normally do?
34000	36000	The main responsibility, I eat.
36000	37000	You eat?
37000	38000	I want to go for dinner, I eat.
38000	39000	Okay.
39000	42000	I don't have anything to do, I just watch TV.
42000	43000	Okay.
43000	45000	I want to eat.
48000	53000	Watch TV, eat, relax.
53000	54000	Okay.
54000	55000	I want to eat.
55000	57000	And please, your family size?
57000	59000	Yeah, this is my wife.
59000	60000	Okay.
60000	63000	She's quite a big patient.
65000	71000	And please, how was the duration of when you were diagnosed, the duration of the illness?
71000	73000	30 years ago.
73000	76000	30 years ago, that's hypertension or diabetes?
76000	77000	No, combined.
77000	83000	Okay, that's 30 years ago. So how has this condition affected your daily life?
84000	86000	Poor baby.
86000	87000	What did you say?
87000	91000	Poor baby, I don't have money, but you saw a man who bought medication.
91000	93000	Oh, okay, okay.
93000	98000	So can you tell me a little bit about the care that you receive for this condition?
98000	101000	About the care you receive when you come to the hospital?
101000	102000	The care?
102000	104000	Yes, what are some of the things that you have?
104000	110000	I get the care, but I'm delayed too much.
110000	111000	Okay.
112000	114000	Hospital. Okay.
133000	139000	So what are some of the experiences you have seen when managing or the experiences you have gotten
139000	143000	when managing the condition over this time?
143000	144000	What are some of the experiences?
144000	145000	Experiences?
145000	146000	Yes.
146000	147000	Like what?
147000	156000	It really happens that I get a big heart to accommodate all these guys.
160000	162000	So what challenges do you face?
162000	163000	What?
163000	165000	The challenges you face during this time.
165000	166000	Money, money.
166000	167000	Money, money.
167000	168000	Money matters.
168000	169000	Money matters.
169000	172000	Okay, so in terms of medication adherence.
172000	173000	Yes, yes.
178000	182000	Why are you able to follow the medication, like through the medication?
182000	184000	Are you able to take your drugs?
189000	190000	You do it.
199000	204000	So do you believe that food or diet plays a role in managing the condition?
204000	205000	Yes, very much.
205000	206000	Very much?
206000	208000	Yes, diet and medication.
208000	214000	Okay, so tell me a little bit about what diet has done in managing this medication.
218000	225000	Maybe you've reduced a certain amount of the quantity of food that you've seen your children eat.
225000	226000	That is true.
226000	227000	That's true.
230000	232000	Chopping, you sleep or chop and go to wake up.
232000	234000	That's about you.
234000	236000	The normal way.
236000	237000	Oh, okay.
237000	243000	But since for this time, have you been receiving nutrition counseling every time you come here?
243000	248000	If I come on, maybe I have a nutrition counselor.
248000	249000	Okay.
249000	250000	They advise you.
250000	251000	Okay.
251000	252000	Whenever you come here?
252000	254000	Not every time.
254000	258000	When I come back and I see the dietitian, what is the issue?
258000	259000	What is the issue?
259000	261000	So when was the last time you saw the dietitian?
261000	264000	Last two years or three years.
264000	265000	Last two years.
265000	266000	Okay.
266000	281000	Okay, so what are some of the experiences with the dietitian?
281000	292000	When you're following the dietary recommendation, are you able to, say, buy the food that they ask you to buy or follow the dietary recommendations day in and day out?
292000	293000	I try to follow.
293000	296000	I try to abide by the service.
296000	298000	I'm not following it.
298000	299000	Really?
299000	301000	I try.
301000	302000	You try.
302000	309000	But what are some of the challenges you face trying to eat in the way that your dietitian...
309000	310000	One is money for your money.
310000	311000	I can do all the...
311000	312000	Thanks.
312000	313000	...that I already have to watch for.
313000	319000	I sometimes manage it.
319000	322000	But is the food available to you?
322000	324000	Do you think if you have the money, you can go buy it?
324000	329000	Yes.
329000	347000	Please, there is a health intervention, that's a health program, that do not only advise people on what to eat, but actually they try to provide coupons and vouchers to people in order to get food at a very low price.
347000	349000	That is done in other countries.
349000	350000	That is one.
350000	357000	Another one is maybe giving foodstuffs to people at a low cost or free.
357000	363000	And the third one is you actually going to the hospital and meals being cooked for you.
363000	371000	Which of these interventions do you think is feasible in Ghana and you can include into this policy?
371000	378000	Ghana, the question is what would be good for me is not good for you.
378000	381000	I don't think that's...
381000	383000	The question is...
383000	384000	It's vague.
384000	387000	You know what I would like?
387000	390000	That's why I want to know what you would like.
390000	392000	Let's see, that's what the majority would...
392000	396000	I'm married and my wife follows me everywhere. I give the money or the food to the people.
396000	399000	The foodstuffs instead, not the one that is being cooked.
399000	401000	I give the money to the people.
401000	403000	Oh, okay.
403000	412000	So you prefer they giving you the foodstuffs, go and prepare your own thing, instead of they giving it to you at the hospital, cooking the food.
412000	413000	Okay.
413000	414000	Or the money.
414000	416000	Or the money.
420000	426000	Then please, I also want to ask, if you go to the dietician, do you pay money to the dietician?
426000	427000	No, no, no. I'm entitled.
427000	428000	You're entitled.
428000	429000	You went to the dietician.
429000	430000	I'm entitled.
430000	432000	Okay.
432000	439000	So can you describe any time you go to see the dietician, what are some of the things she asks you?
439000	444000	Does she give you any chat? Do you follow any chat or something?
444000	446000	What does she normally tell you?
446000	447000	Chat.
447000	448000	Maybe she gives you a chat or...
448000	450000	They advise you what to eat, completely.
450000	452000	Just advise on what to eat.
452000	454000	Chat.
454000	467000	So if the Ghana Medical Transfer, that is the Mahamake, if it's providing nutrition support,
468000	471000	what would you prefer to receive?
474000	475000	The money.
475000	476000	The money.
476000	477000	Okay.
477000	488000	So what might prevent patients, in general, from not receiving this nutrition benefit,
488000	492000	if it is being included into the Ghana Medical Transfer?
492000	496000	What do you think will prevent patients or people from not getting this benefit?
496000	502000	Getting this benefit, if it is included into the Ghana Medical Transfer, maybe in the near future?
502000	505000	Do you think anything will prevent people from not going for it?
505000	509000	Okay, what about you?
511000	513000	Would something prevent you from not going?
513000	515000	No, I don't think so.
515000	517000	Thank you.
523000	531000	So, thank you. Do you have anything to say or add, or you want the policy makers to hear?
531000	533000	I want the policy makers to go.
533000	534000	You say?
534000	538000	Go and buy this and I will go get it.
538000	539000	The money.
539000	540000	I will go get it.
540000	542000	I will go get it quickly.
542000	543000	You can't benefit.
543000	545000	I will just be fine.
545000	546000	Okay.
546000	548000	Thank you so much for your time.
552000	554000	Yes, please. Thank you so much.
554000	556000	I'm going to go.
559000	560000	Oh.
561000	563000	Because if you talk to me...
563000	565000	Yes, you have to take the name.
565000	568000	That's $24,000. You don't have to pay me back.
568000	570000	Yes, let me see.
